id,Inches,Weight,Company_enc,Type_enc,Sys_enc,HD,Touch,Ram,IPS,4K,Screen_Enc,HDD,SSD,Flash,Hybrid,Core,CPU_enc,GHz,GPU_enc,Price_euros
268,15.6,2.36,4,3,5,0,0,8,0,0,1,1000,0,0,0,1,85,2.7,24,749.0
347,15.6,2.0,2,3,5,0,0,4,0,0,1,1000,0,0,0,4,100,1.1,35,449.0
353,13.3,1.2,16,3,7,1,0,8,0,0,4,0,256,0,0,1,59,2.3,38,1460.0
578,15.6,4.42,4,1,5,1,0,16,1,1,14,1000,256,0,0,1,89,2.8,66,2868.99
42,12.5,1.26,4,4,7,1,1,8,0,0,4,0,256,0,0,1,61,2.4,38,1713.37
867,15.6,2.26,2,0,5,1,1,12,0,0,4,2000,512,0,0,1,85,2.7,61,1099.0
1136,15.6,2.0,2,3,2,1,0,4,0,0,4,0,256,0,0,1,48,2.0,38,415.0
609,15.6,2.4,11,1,5,1,0,8,0,0,4,1000,0,0,0,1,89,2.8,62,1142.8
474,14.0,1.3,2,4,5,1,0,8,1,0,4,0,256,0,0,1,85,2.7,59,1193.0
838,15.6,2.5,2,1,5,1,0,16,1,0,4,1000,256,0,0,1,89,2.8,63,1600.0
851,15.6,2.65,2,3,5,0,0,4,0,0,1,1000,0,0,0,4,99,1.6,33,309.0
904,15.6,2.02,4,3,5,1,0,8,0,0,4,1000,0,0,0,1,93,1.8,50,855.0
355,15.6,2.2,16,3,5,0,0,8,0,0,1,0,256,0,0,1,59,2.3,38,1119.0
44,15.6,1.95,7,3,5,1,0,6,1,0,4,0,256,0,0,1,12,3.0,5,649.0
36,14.0,1.75,16,3,5,0,0,4,0,0,1,0,0,0,0,2,95,2.1,36,499.0
971,15.6,1.88,4,4,5,1,0,8,1,0,4,0,256,0,0,1,72,1.6,50,1096.16
938,14.0,1.74,10,0,5,1,1,4,1,0,4,0,256,0,0,1,51,2.4,42,629.0
718,15.6,2.23,0,3,5,0,0,6,0,0,1,1000,0,0,0,1,63,2.5,42,549.0
518,15.6,2.5,10,3,5,1,0,32,1,1,14,0,1000,0,0,1,103,3.1,85,4899.0
1126,17.3,3.0,0,3,5,1,0,8,1,0,4,0,256,0,0,1,72,1.6,79,854.0
51,10.1,0.69,10,0,5,0,1,4,1,0,5,0,0,64,0,1,27,1.44,32,646.27
772,17.3,2.71,7,3,5,1,0,6,1,0,4,2000,0,0,0,1,0,2.5,5,655.01
1001,12.5,1.26,7,2,5,0,0,8,0,0,1,0,256,0,0,1,67,2.6,42,1389.0
330,17.3,3.35,7,1,5,1,0,16,1,0,4,1000,256,0,0,1,89,2.8,62,1379.0
66,15.6,1.78,4,5,5,1,1,8,0,1,14,0,256,0,0,1,89,2.8,82,2712.0
829,15.6,2.0,2,3,2,1,0,4,0,0,4,1000,0,0,0,1,48,2.0,42,389.0
1129,15.6,2.4,0,3,5,0,0,4,0,0,1,500,0,0,0,1,63,2.5,42,559.0
1197,15.6,2.4,10,3,5,1,0,6,0,0,4,0,256,0,0,1,63,2.5,54,695.0
171,15.6,2.2,10,3,5,0,0,4,0,0,1,1000,0,0,0,2,33,1.1,34,306.0
233,14.0,1.95,7,3,5,1,0,8,0,0,4,0,256,0,0,1,63,2.5,42,980.0
205,15.6,2.13,4,3,5,1,0,8,0,0,4,0,256,0,0,1,72,1.6,4,728.0
361,15.6,2.5,2,1,5,1,0,8,0,0,4,1000,0,0,0,1,89,2.8,63,1265.0
1250,15.6,2.32,10,3,7,1,0,8,0,0,4,0,0,0,1000,1,77,2.5,15,895.0
707,15.6,2.18,4,3,5,0,0,4,0,0,1,1000,0,0,0,1,46,2.0,17,614.0
884,15.6,2.2,0,3,1,1,0,4,1,0,4,0,0,16,0,2,28,1.5,31,359.0
1071,15.6,2.2,10,3,5,1,0,6,0,0,4,0,256,0,0,1,4,3.6,5,597.57
95,15.6,2.2,4,3,5,0,0,4,0,0,1,500,0,0,0,4,99,1.6,31,369.0
745,15.6,2.2,2,3,5,0,0,4,0,0,1,500,0,0,0,2,30,1.6,31,369.0
899,15.6,2.1,0,3,2,0,0,4,0,0,1,1000,0,0,0,1,52,2.7,42,367.0
313,15.6,1.7,2,4,5,1,0,8,0,0,4,0,256,0,0,1,85,2.7,59,1049.9
1063,15.6,2.2,11,1,5,1,0,8,0,0,4,1000,0,0,0,1,66,2.5,62,1119.91
193,15.6,2.3,4,0,5,1,1,8,1,0,4,0,256,0,0,1,65,2.7,42,1094.0
625,15.6,1.91,7,4,5,1,0,8,0,0,4,0,256,0,0,1,93,1.8,42,659.0
142,15.6,2.31,7,3,5,1,0,8,0,0,4,0,256,0,0,1,91,2.9,44,1427.0
243,11.6,1.4,7,0,1,0,1,8,0,0,0,0,0,64,0,2,33,1.1,34,495.0
1214,14.0,1.48,7,3,5,1,0,8,0,0,4,0,256,0,0,1,67,2.6,42,1268.0
1047,15.6,2.3,4,3,5,0,0,4,0,0,1,1000,0,0,0,1,48,2.0,38,418.64
648,15.6,2.2,10,3,4,1,0,4,0,0,4,1000,0,0,0,1,48,2.0,18,479.0
34,15.4,2.04,1,4,3,0,0,16,1,0,12,0,0,256,0,1,73,2.2,49,2139.97
804,14.0,1.54,7,3,7,1,0,4,0,0,4,500,0,0,0,1,59,2.3,38,1030.99
872,15.6,1.86,7,3,5,1,0,4,0,0,4,500,0,0,0,1,48,2.0,38,397.0
1297,15.6,1.88,7,3,7,1,0,8,0,0,4,0,256,0,0,1,59,2.3,38,1579.0
192,15.6,1.98,4,3,2,1,0,8,0,0,4,1000,0,0,0,1,63,2.5,42,726.0
451,15.6,2.1,7,3,5,0,0,4,0,0,1,500,0,0,0,2,32,1.6,32,347.0
894,15.6,2.3,5,3,5,0,0,4,0,0,1,0,256,0,0,1,59,2.3,38,649.0
961,14.0,1.47,16,4,5,1,0,8,1,0,4,0,256,0,0,1,79,2.6,38,1725.0
1168,14.0,1.7,10,4,5,1,0,4,0,0,4,0,180,0,0,1,59,2.3,38,1096.0
966,15.6,2.3,10,3,5,1,0,8,1,0,4,0,256,0,0,1,79,2.6,38,1529.0
794,14.0,1.4,12,3,5,1,0,2,0,0,4,0,0,32,0,1,26,1.44,31,239.0
763,15.6,2.67,10,5,5,1,0,8,0,0,4,0,512,0,0,1,89,2.8,82,1925.0
946,15.6,1.85,10,3,5,1,0,4,0,0,4,1000,0,0,0,1,48,2.0,38,414.9
1298,15.6,2.2,0,3,5,0,0,4,0,0,1,500,0,0,0,1,48,2.0,70,469.0
715,14.0,1.5,2,3,5,0,0,4,0,0,1,0,0,32,0,2,33,1.1,34,278.0
762,13.3,1.2,4,4,5,1,0,8,0,0,4,0,256,0,0,1,93,1.8,50,1449.0
1101,15.6,2.2,11,1,5,1,0,8,0,0,4,1000,0,0,0,1,66,2.5,62,1089.0
994,12.5,0.97,7,2,5,1,0,8,0,0,4,0,512,0,0,1,40,1.2,37,1908.0
528,14.0,1.6,4,4,2,1,0,8,0,0,4,0,256,0,0,1,87,2.8,42,1099.0
926,15.6,2.2,10,3,4,0,0,8,0,0,1,500,0,0,0,1,77,2.5,54,629.0
791,15.6,1.86,7,3,4,0,0,4,0,0,1,1000,0,0,0,1,48,2.0,38,345.99
351,14.0,1.68,0,3,1,0,0,4,0,0,1,0,0,32,0,2,32,1.6,32,349.0
166,15.6,2.09,4,3,7,1,0,8,0,0,4,0,256,0,0,1,61,2.4,38,1062.95
1196,15.6,2.1,0,3,5,0,0,4,0,0,1,1000,0,0,0,2,33,1.1,34,348.0
1056,15.6,2.33,4,3,5,1,0,8,0,0,4,1000,0,0,0,1,72,1.6,5,844.0
909,17.3,3.49,14,1,5,1,1,32,0,1,14,0,1000,0,0,1,90,2.9,68,6099.0
1189,15.6,2.2,10,3,5,0,0,4,0,0,1,0,0,0,0,1,18,2.2,9,349.0
654,17.3,3.78,11,1,5,1,0,16,0,0,4,1000,256,0,0,1,89,2.8,66,2499.0
968,15.6,2.2,10,3,5,1,0,4,0,0,4,500,0,0,0,1,59,2.3,38,535.0
1027,12.5,1.26,7,4,7,1,0,8,0,0,4,0,256,0,0,1,76,2.5,38,2296.95
217,11.6,1.4,10,2,5,0,1,4,0,0,0,0,0,0,0,2,32,1.6,32,475.0
1224,12.5,1.36,10,4,5,1,0,8,1,0,4,0,256,0,0,1,85,2.7,42,1584.0
559,17.3,2.77,4,3,5,1,1,16,0,0,4,0,512,0,0,1,93,1.8,52,1549.0
136,13.3,1.29,4,4,5,1,1,8,1,0,4,0,0,0,0,1,63,2.5,42,899.0
420,13.3,1.62,4,0,5,1,1,8,1,0,4,1000,0,0,0,1,93,1.8,50,839.0
54,13.3,1.05,16,4,5,1,1,32,0,0,4,0,512,0,0,1,85,2.7,42,2799.0
788,15.6,2.1,0,3,5,0,0,4,0,0,1,0,256,0,0,1,11,3.0,12,451.0
628,15.6,2.2,7,3,5,1,0,8,1,0,4,1000,0,0,0,1,66,2.5,62,1099.0
1215,15.6,2.05,10,3,5,1,0,8,0,0,4,0,256,0,0,1,93,1.8,50,880.0
396,15.6,1.9,10,3,4,0,0,4,0,0,1,1000,0,0,0,1,46,2.0,38,339.0
1083,15.6,2.2,2,3,5,0,0,4,0,0,1,500,0,0,0,2,30,1.6,31,369.0
20,13.3,1.28,7,0,5,1,1,8,0,0,4,0,256,0,0,1,63,2.5,42,2277.0
1263,13.3,1.49,7,3,5,1,0,16,0,0,4,0,512,0,0,1,93,1.8,50,1197.0
258,15.6,2.62,4,1,2,1,0,8,0,0,4,1000,0,0,0,1,89,2.8,64,929.0
159,15.6,2.18,4,3,5,0,0,4,0,0,1,1000,0,0,0,1,46,2.0,38,558.6
572,15.6,2.5,10,1,5,1,0,16,1,0,4,1000,512,0,0,1,19,2.1,26,999.0
374,15.6,2.0,16,3,5,1,0,8,1,0,4,500,0,0,0,1,63,2.5,42,860.0
25,12.5,1.26,7,4,7,0,0,8,0,0,1,0,256,0,0,1,61,2.4,38,1895.0
345,15.6,2.4,10,1,5,1,0,4,1,0,4,1000,0,0,0,1,89,2.8,62,999.0
827,11.6,1.63,4,2,5,0,0,4,0,0,1,0,0,0,0,4,100,1.1,35,744.0
661,15.6,2.04,7,3,5,1,0,8,0,0,4,0,256,0,0,1,63,2.5,57,889.0
102,13.3,1.37,10,0,5,1,1,8,1,0,4,0,512,0,0,1,85,2.7,42,2025.0
185,17.3,2.73,2,1,5,1,0,8,1,0,4,1000,0,0,0,1,66,2.5,65,1770.0
69,17.3,2.69,2,3,5,1,0,8,0,0,4,500,256,0,0,1,63,2.5,71,891.0
327,15.6,2.4,11,1,5,1,0,16,1,0,4,1000,256,0,0,1,89,2.8,65,1799.0
439,11.6,1.25,0,2,1,0,0,4,1,0,0,0,0,32,0,2,32,1.6,32,297.0
662,17.3,4.14,11,1,5,1,0,16,0,0,4,1000,512,0,0,1,89,2.8,66,2499.0
799,15.6,2.2,2,3,5,1,0,4,0,0,4,1000,0,0,0,1,1,2.5,18,575.0
555,15.6,2.1,7,3,5,1,0,4,1,0,4,500,0,0,0,1,72,1.6,42,722.0
40,14.0,1.75,16,3,5,0,0,4,1,0,0,0,0,0,0,1,59,2.3,38,1020.0
1110,13.3,1.3,10,0,5,1,1,16,1,0,13,0,512,0,0,1,77,2.5,38,1499.0
998,14.0,1.36,7,4,5,1,0,8,1,0,4,0,256,0,0,1,85,2.7,42,1750.0
500,17.3,2.9,11,1,5,1,0,8,0,0,4,1000,0,0,0,1,80,2.6,73,1511.19
734,13.3,1.23,4,4,5,1,1,8,0,0,13,0,256,0,0,1,72,1.6,50,1869.0
974,14.0,1.7,10,3,5,1,0,8,0,0,4,0,180,0,0,1,63,2.5,42,1364.0
117,13.3,1.28,7,0,5,1,1,4,0,0,4,0,256,0,0,1,63,2.5,42,1799.0
392,15.6,2.04,7,3,5,0,0,4,0,0,1,0,256,0,0,1,51,2.4,42,769.99
1060,15.6,2.2,4,3,5,1,0,16,0,0,4,2000,256,0,0,1,93,1.8,5,1219.24
613,15.6,2.37,2,3,5,1,0,8,0,0,4,0,256,0,0,1,63,2.5,42,1099.0
711,14.0,1.63,7,3,5,1,0,8,0,0,4,0,512,0,0,1,93,1.8,50,1084.0
1245,15.6,2.18,4,3,5,0,0,4,0,0,1,0,0,0,0,1,51,2.4,42,547.0
639,14.0,1.1,2,4,5,1,0,8,0,0,4,0,512,0,0,1,85,2.7,42,1873.0
9,17.3,3.0,0,3,5,1,0,4,1,0,4,0,256,0,0,1,72,1.6,79,805.0
1213,15.6,1.9,10,3,4,0,0,4,0,0,1,500,0,0,0,1,48,2.0,38,450.0
535,15.6,2.62,4,1,5,1,0,8,1,0,4,1000,0,0,0,1,89,2.8,63,1159.0
155,13.3,1.23,4,4,2,1,1,8,0,0,13,0,256,0,0,1,61,2.4,38,1099.0
1074,17.3,2.63,7,3,5,1,0,8,0,0,4,1000,0,0,0,1,85,2.7,57,1280.0
472,11.6,1.39,4,0,5,0,1,4,0,0,0,0,0,0,0,1,41,1.0,41,603.0
47,17.3,2.8,10,3,4,1,0,4,0,0,4,500,0,0,0,1,48,2.0,38,529.0
5,17.3,2.5,7,3,5,1,0,8,0,0,4,0,256,0,0,1,72,1.6,50,928.0
466,15.6,2.0,2,3,5,0,0,4,0,0,1,1000,0,0,0,1,51,2.4,42,435.0
712,14.0,1.63,7,3,5,1,0,8,0,0,4,1000,0,0,0,1,72,1.6,50,812.0
212,14.0,1.5,0,3,5,1,0,8,1,0,4,0,0,0,0,1,51,2.4,42,619.0
1067,15.6,1.86,7,3,4,1,0,8,0,0,4,0,256,0,0,1,63,2.5,42,575.0
785,15.6,2.04,7,3,5,0,0,8,0,0,1,2000,0,0,0,4,99,1.6,33,389.0
332,15.6,1.95,4,3,5,0,0,8,0,0,1,0,0,0,0,1,63,2.5,42,810.0
1199,15.6,2.94,11,1,5,1,0,16,0,0,4,1000,256,0,0,1,89,2.8,66,2267.86
412,15.6,2.0,4,3,5,1,0,8,0,0,4,0,256,0,0,1,89,2.8,62,1829.0
200,14.0,1.43,7,4,5,1,0,8,0,0,4,0,256,0,0,1,77,2.5,38,1500.0
509,15.6,2.0,16,3,5,1,0,8,1,0,4,0,256,0,0,1,63,2.5,42,943.0
411,15.6,2.2,11,1,5,1,0,8,0,0,4,1000,0,0,0,1,89,2.8,62,1149.0
627,13.3,1.37,10,0,5,1,1,8,1,0,4,0,256,0,0,1,85,2.7,42,1950.0
1088,15.6,2.2,10,3,5,1,0,12,0,0,4,2000,0,0,0,1,4,3.6,5,899.0
881,15.6,1.95,4,3,5,0,0,4,0,0,1,500,0,0,0,1,59,2.3,38,729.9
914,13.3,1.22,4,0,5,1,1,16,0,0,13,0,512,0,0,1,92,1.3,41,1899.0
690,15.6,2.0,16,3,5,0,0,8,0,0,1,0,0,0,0,1,63,2.5,42,793.0
111,15.6,1.9,7,3,5,1,0,8,0,0,4,500,0,0,0,1,63,2.5,0,1154.0
26,15.6,2.04,7,3,5,1,0,8,1,0,4,1000,0,0,0,1,64,2.7,57,979.0
375,17.3,4.42,4,1,5,1,0,16,1,0,4,1000,256,0,0,1,89,2.8,66,2699.0
289,15.6,2.21,7,3,5,1,0,12,1,0,4,1000,0,0,0,1,89,2.8,62,1327.0
1007,13.3,1.32,7,3,5,1,0,4,1,0,4,0,256,0,0,1,63,2.5,42,699.0
476,10.1,0.69,10,0,5,0,1,4,1,0,5,0,0,64,0,1,27,1.44,32,479.0
475,14.0,1.4,2,3,5,1,0,8,0,0,4,0,256,0,0,1,72,1.6,50,941.0
125,15.6,2.5,0,3,2,1,0,8,0,0,4,0,256,0,0,1,89,2.8,62,879.0
1154,14.0,1.54,7,4,5,1,0,8,0,0,4,0,512,0,0,1,77,2.5,38,1468.0
1184,15.6,2.6,7,5,5,1,0,8,0,0,4,0,256,0,0,1,89,2.8,82,1738.27
322,15.6,2.2,5,3,5,0,0,8,0,0,1,1000,0,0,0,1,63,2.5,42,739.0
280,15.0,1.23,15,4,5,1,0,16,0,0,4,0,256,0,0,1,85,2.7,59,1849.0
63,15.6,2.2,10,3,4,1,0,8,0,0,4,0,256,0,0,1,63,2.5,59,629.0
547,15.6,2.1,2,1,5,1,0,16,0,0,4,1000,0,0,0,1,89,2.8,65,1899.0
1293,13.3,1.45,10,3,1,0,0,4,0,0,1,0,0,16,0,2,29,1.6,36,459.9
536,15.6,2.1,0,3,2,0,0,4,0,0,1,1000,0,0,0,1,48,2.0,38,390.0
687,15.6,1.9,10,3,5,0,0,4,0,0,1,0,0,0,0,1,63,2.5,42,498.0
1023,15.6,2.2,4,3,2,1,0,8,0,0,4,1000,0,0,0,1,85,2.7,18,599.9
210,15.6,2.1,7,3,5,1,0,4,0,0,4,1000,0,0,0,1,5,2.5,10,398.0
657,15.6,1.9,4,3,5,0,0,8,0,0,1,500,0,0,0,1,67,2.6,42,1008.52
671,15.6,2.3,2,1,5,1,0,8,1,0,4,1000,0,0,0,1,89,2.8,65,1655.0
194,15.6,2.3,10,3,5,1,0,4,1,0,4,1000,0,0,0,1,60,2.3,71,977.0
672,14.0,1.48,7,3,5,1,0,8,0,0,4,0,256,0,0,1,85,2.7,42,1292.0
1152,15.6,2.23,0,3,5,0,0,4,0,0,1,500,0,0,0,1,63,2.5,42,619.0
201,17.3,2.8,11,1,5,1,0,16,0,0,4,1000,256,0,0,1,89,2.8,65,1890.0
792,14.0,2.1,0,3,5,0,0,8,0,0,1,1000,0,0,0,1,48,2.0,38,389.0
306,14.0,1.14,10,4,5,1,0,16,1,0,4,0,512,0,0,1,85,2.7,42,2450.0
828,15.6,2.3,4,3,5,1,1,16,0,0,4,1000,0,0,0,1,85,2.7,24,859.01
1055,12.5,1.26,7,2,5,1,0,8,0,0,4,0,512,0,0,1,85,2.7,42,1483.0
813,17.3,4.36,4,1,5,1,0,32,0,1,14,1000,1000,0,0,1,89,2.8,66,3659.4
1000,13.3,1.6,0,0,5,1,1,8,1,0,4,0,256,0,0,1,77,2.5,38,789.01
110,15.6,2.04,7,3,5,1,0,8,0,0,4,1000,0,0,0,1,63,2.5,42,806.0
399,15.6,2.4,0,3,2,0,0,4,0,0,1,500,0,0,0,1,63,2.5,42,441.8
636,15.6,2.2,10,3,4,1,0,8,0,0,4,1000,0,0,0,1,85,2.7,59,709.0
1264,14.0,1.48,7,4,5,1,0,4,0,0,4,0,256,0,0,1,69,2.7,42,1082.0
318,15.6,2.5,10,1,5,1,0,16,1,0,4,0,256,0,0,1,89,2.8,63,1079.0
172,14.0,1.2,0,0,5,1,1,8,1,0,4,0,256,0,0,1,92,1.3,41,1149.0
293,15.6,3.0,0,3,5,1,0,8,1,0,4,0,256,0,0,1,93,1.8,79,951.0
138,14.0,1.8,10,0,7,1,1,8,1,0,4,0,512,0,0,1,79,2.6,87,2050.38
747,15.6,2.3,11,1,5,1,0,8,0,0,4,1000,0,0,0,1,80,2.6,73,1169.0
801,14.0,1.1,10,3,7,0,0,16,1,0,10,0,256,0,0,1,79,2.6,38,2620.0
45,14.0,1.36,4,4,5,1,0,8,0,0,4,0,512,0,0,1,87,2.8,31,1680.0
1262,15.6,2.2,10,3,5,0,0,8,0,0,1,0,0,0,0,1,48,2.0,38,589.0
923,13.3,1.6,0,0,5,1,1,8,1,0,4,0,256,0,0,1,59,2.3,38,689.0
879,17.3,3.3,0,3,5,0,0,8,0,0,3,1000,0,0,0,1,46,2.0,59,629.0
931,13.3,1.2,16,4,5,1,0,8,0,0,4,0,256,0,0,1,59,2.3,38,1590.0
730,15.6,2.2,2,1,5,1,0,8,0,0,4,1000,0,0,0,1,80,2.6,65,1169.0
55,15.6,2.3,2,3,2,1,0,8,0,0,4,1000,0,0,0,1,51,2.4,59,597.0
373,13.3,1.48,7,0,5,0,1,8,0,0,10,0,512,0,0,1,79,2.6,38,2041.0
603,15.6,2.2,10,3,5,1,0,6,0,0,4,0,256,0,0,1,85,2.7,59,789.0
197,13.3,1.05,16,3,5,1,0,8,0,0,4,0,256,0,0,1,63,2.5,42,1475.0
599,17.3,3.2,2,1,5,1,0,8,0,0,4,1000,256,0,0,1,21,3.2,29,1695.0
1258,17.3,4.2,0,1,5,1,0,16,1,0,4,1000,256,0,0,1,89,2.8,65,2299.0
682,14.0,1.63,7,3,5,0,0,4,1,0,0,500,0,0,0,1,72,1.6,50,722.0
752,14.0,1.6,0,4,5,1,0,8,1,0,4,0,256,0,0,1,72,1.6,50,770.0
283,13.3,1.35,12,3,5,1,0,4,1,0,4,0,0,32,0,1,26,1.44,31,255.0
1205,15.6,2.0,16,3,5,1,0,8,1,0,4,0,256,0,0,1,85,2.7,42,1388.0
1237,15.6,2.1,0,3,2,0,0,4,0,0,1,1000,0,0,0,2,34,2.0,34,272.0
28,15.6,2.19,4,0,5,1,1,12,1,0,4,0,512,0,0,1,85,2.7,42,1299.0
809,15.6,2.13,4,3,5,1,0,8,0,0,4,0,256,0,0,1,93,1.8,4,767.8
1274,15.6,1.91,7,3,5,1,0,6,1,0,4,0,0,0,0,1,1,2.5,5,568.9
532,15.6,1.96,7,3,5,1,0,8,0,0,4,0,256,0,0,1,63,2.5,42,598.99
1167,14.0,1.95,14,1,5,1,0,16,0,0,4,0,1000,0,0,1,89,2.8,65,3499.0
942,15.6,2.3,10,3,5,1,0,8,1,0,4,0,256,0,0,1,63,2.5,42,911.0
638,15.6,2.1,0,3,5,1,1,6,1,0,4,1000,0,0,0,1,51,2.4,42,479.0
739,15.6,2.04,7,3,5,1,0,8,0,0,4,1000,0,0,0,1,85,2.7,57,900.0
1181,15.6,2.37,2,3,5,0,0,4,0,0,1,1000,0,0,0,1,51,2.4,42,398.99
109,17.3,4.0,2,1,5,1,0,16,1,0,4,1000,0,0,0,1,80,2.6,75,1900.0
1235,15.6,2.18,4,3,5,0,0,8,0,0,1,0,0,0,0,1,63,2.5,42,713.99
640,15.6,1.84,7,4,5,1,0,8,0,0,4,0,256,0,0,1,77,2.5,22,1296.99
319,15.6,2.3,10,3,4,1,0,8,1,0,4,0,256,0,0,1,63,2.5,42,573.0
1002,14.0,1.65,2,3,5,0,0,2,0,0,1,0,0,32,0,1,17,1.5,8,199.0
132,14.0,1.76,4,3,5,0,0,4,0,0,1,500,0,0,0,1,59,2.3,38,755.0
560,11.6,1.17,7,2,5,0,0,2,0,0,1,0,0,32,0,2,32,1.6,32,209.0
601,15.6,1.86,2,3,5,0,0,4,0,0,1,0,0,0,0,2,33,1.1,34,419.0
495,17.3,4.42,4,1,5,1,0,32,1,0,4,1000,512,0,0,1,89,2.8,66,3072.89
839,15.6,2.5,2,1,5,1,0,16,0,0,4,1000,256,0,0,1,89,2.8,63,1799.0
622,15.6,2.67,4,0,5,1,1,8,0,0,4,0,256,0,0,1,72,1.6,50,799.0
619,17.3,2.0,2,3,5,1,0,4,0,0,4,1000,0,0,0,1,48,2.0,54,564.0
631,14.0,1.6,11,1,5,1,0,16,1,0,4,1000,256,0,0,1,89,2.8,65,1891.0
515,17.3,2.8,10,3,4,0,0,8,0,0,3,0,256,0,0,1,72,1.6,79,698.0
869,15.6,1.09,9,4,5,1,0,8,1,0,4,0,512,0,0,1,93,1.8,42,2299.0
